year,fips,county,state,urban,copd_edv,copd_hos,copd_pre,copd_prs,copd_pqi,asth_pre,toba_pre,copd_apc
2012-2015,1001,Autauga County,ALABAMA,1,16.14497528830313,-20,1,0,-18.97642323174238,5,0,-12.645011600928076
2012-2015,1003,Baldwin County,ALABAMA,0,0,-37.5,1,0,-26.713008937437934,4,0,-8.236994219653178
2012-2015,1005,Barbour County,ALABAMA,0,5.804111245465538,-8.333333333333334,0,1,-7.003154574132492,2,3,-12.475247524752476
2012-2015,1007,Bibb County,ALABAMA,1,6.32716049382716,55.55555555555556,0,0,63.13328137178488,4,0,52.874646559849204
2012-2015,1009,Blount County,ALABAMA,1,-5.69620253164557,-53.84615384615385,0,1,-45.459430413756046,5,0,-16.243093922651934
2012-2015,1011,Bullock County,ALABAMA,0,16.012084592145015,63.63636363636363,2,0,163.3257403189066,3,2,72.265625
2012-2015,1013,Butler County,ALABAMA,0,-7.633587786259542,-28.571428571428573,1,0,-29.724933451641522,5,1,-19.72318339100346
2012-2015,1015,Calhoun County,ALABAMA,1,2.4423337856173677,-18.75,0,0,-9.174782162993337,5,1,1.0953608247422681
2012-2015,1017,Chambers County,ALABAMA,0,-2.6392961876832843,33.333333333333336,0,0,4.720744680851064,4,0,36.20689655172414
2012-2015,1019,Cherokee County,ALABAMA,0,5.079825834542816,-23.076923076923077,2,0,-30.179171332586787,7,2,6.444605358435916
2012-2015,1021,Chilton County,ALABAMA,1,-18.445121951219512,-50,-1,2,-53.75086028905712,4,2,3.1880286271958362
2012-2015,1023,Choctaw County,ALABAMA,0,7.18954248366013,71.42857142857142,1,0,65.43330087633885,2,0,-3.0238500851788754
2012-2015,1025,Clarke County,ALABAMA,0,-2.8490028490028494,-41.66666666666667,0,0,-43.42857142857143,2,1,-18.429414434861553
2012-2015,1027,Clay County,ALABAMA,0,-0.6269592476489029,-52.17391304347826,-3,0,-59.35124176381145,6,1,0.07710100231303006
2012-2015,1029,Cleburne County,ALABAMA,0,12.893553223388306,15.384615384615383,-1,0,-5.985722130697419,6,2,7.021131561008862
2012-2015,1031,Coffee County,ALABAMA,0,-9.705159705159705,-33.333333333333336,0,0,-41.699493528418685,4,1,15.919282511210762
2012-2015,1033,Colbert County,ALABAMA,1,4.51219512195122,7.142857142857142,1,0,10.554658050619278,6,1,5.957446808510638
2012-2015,1035,Conecuh County,ALABAMA,0,3.575076608784474,-24.444444444444443,2,0,-37.99109481403877,7,1,-28.20919175911252
2012-2015,1037,Coosa County,ALABAMA,0,3.501945525291829,-30.769230769230766,1,2,-24.359673024523158,5,0,-18.809980806142036
2012-2015,1039,Covington County,ALABAMA,0,10.62573789846517,-4.545454545454546,0,0,-13.01264261486278,6,3,18.393960192175705
2012-2015,1041,Crenshaw County,ALABAMA,0,16.86217008797654,-48,0,0,-44.57486401374177,4,1,-2.078053725291434
2012-2015,1043,Cullman County,ALABAMA,0,-7.239819004524887,0,0,0,19.258589511754067,5,1,-10.493046776232617
2012-2015,1045,Dale County,ALABAMA,0,6.004901960784314,-15.384615384615383,0,1,-20.910623946037102,5,2,-4.625407166123779
2012-2015,1047,Dallas County,ALABAMA,0,3.225806451612903,0,0,0,23.430962343096237,3,0,-4.022038567493113
2012-2015,1049,DeKalb County,ALABAMA,0,-5.223880597014925,-21.05263157894737,0,0,-22.066634476098503,5,2,-11.84631803628602
2012-2015,1051,Elmore County,ALABAMA,1,-6.6455696202531644,0,0,1,15.482695810564662,4,1,-8.625162127107652
2012-2015,1053,Escambia County,ALABAMA,0,9.573241061130334,5.88235294117647,2,0,0.9689140088817118,3,0,-0.18371096142069812
2012-2015,1055,Etowah County,ALABAMA,1,1.3493253373313343,-23.52941176470588,0,0,-22.69579115610016,7,2,-4.535274356103024
2012-2015,1057,Fayette County,ALABAMA,0,6.785714285714286,-38.095238095238095,-1,0,-40.48176647708264,5,2,-1.262272089761571
2012-2015,1059,Franklin County,ALABAMA,0,8.947368421052632,-22.22222222222222,1,0,-25.340871300299302,8,1,0.9340944473274521
2012-2015,1061,Geneva County,ALABAMA,1,-0.25157232704402516,12.5,1,1,-13.80186282811177,5,3,5.544422177688711
2012-2015,1063,Greene County,ALABAMA,1,-10.48076923076923,-53.333333333333336,-2,0,-60.96483152273982,3,3,-7.296439901304194
2012-2015,1065,Hale County,ALABAMA,1,5.946601941747573,75,2,0,42.17105263157895,4,1,76.69990933816864
2012-2015,1067,Henry County,ALABAMA,1,7.202680067001675,-33.333333333333336,1,1,-52.25726654298082,3,2,-12.557077625570775
2012-2015,1069,Houston County,ALABAMA,1,-3.2564450474898234,-27.272727272727273,1,1,-40.02151694459387,4,2,-13.535353535353536
2012-2015,1071,Jackson County,ALABAMA,0,0.45592705167173253,-14.285714285714286,1,0,-26.875660443818244,5,-1,11.852704257767549
2012-2015,1073,Jefferson County,ALABAMA,1,-0.1607717041800643,-16.666666666666668,1,1,-19.721329046087888,3,1,1.4184397163120568
2012-2015,1075,Lamar County,ALABAMA,0,3.695150115473441,-41.66666666666667,-1,0,-47.3505853357979,6,3,-22.014714204867005
2012-2015,1077,Lauderdale County,ALABAMA,1,1.2403100775193798,16.666666666666668,0,0,7.3770491803278695,5,1,3.524804177545692
2012-2015,1079,Lawrence County,ALABAMA,1,-3.474903474903475,-42.10526315789474,-1,0,-36.72337278106509,5,0,-12.794398472310629
2012-2015,1081,Lee County,ALABAMA,1,-4.27807486631016,0,1,0,0.7590132827324478,3,0,4.371584699453551
2012-2015,1083,Limestone County,ALABAMA,1,5.939226519337017,-15.789473684210526,0,1,-14.527445315724309,4,0,-4.434011476264997
2012-2015,1085,Lowndes County,ALABAMA,1,13.561847988077496,-42.857142857142854,0,1,-9.685430463576159,3,3,51.94805194805195
2012-2015,1087,Macon County,ALABAMA,0,-4.043545878693624,0,1,0,13.867684478371501,3,1,-3.904170363797693
2012-2015,1089,Madison County,ALABAMA,1,-2.603369065849923,0,-1,1,7.918367346938775,4,1,-0.7425742574257426
2012-2015,1091,Marengo County,ALABAMA,0,5.592105263157895,0,3,0,-15.822784810126581,4,3,-9.630146545708305
2012-2015,1093,Marion County,ALABAMA,0,-0.11792452830188678,-42.857142857142854,0,0,-43.733333333333334,7,1,-9.354838709677418
2012-2015,1095,Marshall County,ALABAMA,0,-8.076009501187649,15.384615384615383,1,0,44.668587896253605,6,1,20.94167252283907
2012-2015,1097,Mobile County,ALABAMA,1,0.3472222222222222,-10,-1,0,-6.527093596059114,4,1,-2.243958573072497
2012-2015,1099,Monroe County,ALABAMA,0,8.78048780487805,9.090909090909092,1,0,26.6137040714995,4,1,39.844256975989616
