year,fips,county,state,urban,copd_apc,copd_edv,copd_hos,copd_pre,copd_pqi,asth_pre,toba_pre
2014,1001,Autauga County,ALABAMA,1,1196,580,10,13,1384,5,7
2014,1003,Baldwin County,ALABAMA,0,1346,510,7,10,931,4,7
2014,1005,Barbour County,ALABAMA,0,1580,910,12,10,1641,5,10
2014,1007,Bibb County,ALABAMA,1,1523,631,8,13,1440,6,10
2014,1009,Blount County,ALABAMA,1,1503,582,5,14,784,5,10
2014,1011,Bullock County,ALABAMA,0,1513,714,14,11,1395,4,6
2014,1013,Butler County,ALABAMA,0,1363,758,12,15,1916,4,9
2014,1015,Calhoun County,ALABAMA,1,1514,749,11,15,1359,5,12
2014,1017,Chambers County,ALABAMA,0,891,631,8,13,1037,4,9
2014,1019,Cherokee County,ALABAMA,0,1782,696,13,17,1327,5,13
2014,1021,Chilton County,ALABAMA,1,1592,565,4,13,597,5,10
2014,1023,Choctaw County,ALABAMA,0,1664,844,6,10,806,3,9
2014,1025,Clarke County,ALABAMA,0,1955,676,11,9,1728,4,5
2014,1027,Clay County,ALABAMA,0,1345,679,13,15,1821,5,10
2014,1029,Cleburne County,ALABAMA,0,1951,709,12,17,1614,5,12
2014,1031,Coffee County,ALABAMA,0,1351,752,10,13,943,6,10
2014,1033,Colbert County,ALABAMA,1,1547,858,16,15,2148,5,11
2014,1035,Conecuh County,ALABAMA,0,2005,983,32,19,4290,4,7
2014,1037,Coosa County,ALABAMA,0,1742,780,7,13,679,4,9
2014,1039,Covington County,ALABAMA,0,1373,910,20,17,2576,4,11
2014,1041,Crenshaw County,ALABAMA,0,2144,790,18,15,2201,4,10
2014,1043,Cullman County,ALABAMA,0,1393,603,8,14,1002,4,10
2014,1045,Dale County,ALABAMA,0,1509,848,13,14,1677,6,11
2014,1047,Dallas County,ALABAMA,0,1704,802,7,11,1326,5,10
2014,1049,DeKalb County,ALABAMA,0,1727,638,13,15,1435,4,10
2014,1051,Elmore County,ALABAMA,1,1243,571,10,13,1222,4,7
2014,1053,Escambia County,ALABAMA,0,1735,914,17,14,2361,5,10
2014,1055,Etowah County,ALABAMA,1,1570,687,12,16,1336,6,11
2014,1057,Fayette County,ALABAMA,0,1191,865,14,16,2479,6,14
2014,1059,Franklin County,ALABAMA,0,1892,751,16,18,1772,4,11
2014,1061,Geneva County,ALABAMA,1,1353,768,14,14,1641,5,11
2014,1063,Greene County,ALABAMA,1,2294,968,17,12,3566,8,11
2014,1065,Hale County,ALABAMA,1,1330,819,9,11,1880,6,10
2014,1067,Henry County,ALABAMA,1,1340,608,7,10,1137,6,9
2014,1069,Houston County,ALABAMA,1,1357,724,8,11,1523,6,11
2014,1071,Jackson County,ALABAMA,0,1665,636,17,15,2111,5,12
2014,1073,Jefferson County,ALABAMA,1,1161,600,4,9,623,5,7
2014,1075,Lamar County,ALABAMA,0,1662,870,21,16,2510,4,12
2014,1077,Lauderdale County,ALABAMA,1,1466,642,12,13,1613,5,9
2014,1079,Lawrence County,ALABAMA,1,1423,703,10,15,1551,5,12
2014,1081,Lee County,ALABAMA,1,1352,536,6,9,861,5,7
2014,1083,Limestone County,ALABAMA,1,1880,754,17,13,2274,5,11
2014,1085,Lowndes County,ALABAMA,1,1747,690,8,9,1452,5,8
2014,1087,Macon County,ALABAMA,0,1149,610,6,8,1122,4,6
2014,1089,Madison County,ALABAMA,1,1466,634,9,10,1127,6,8
2014,1091,Marengo County,ALABAMA,0,1431,621,11,12,1321,4,9
2014,1093,Marion County,ALABAMA,0,1629,794,19,18,2283,3,10
2014,1095,Marshall County,ALABAMA,0,1445,783,12,17,1035,4,12
2014,1097,Mobile County,ALABAMA,1,1628,561,10,10,1575,5,8
2014,1099,Monroe County,ALABAMA,0,1595,856,14,12,1799,3,6
2014,1101,Montgomery County,ALABAMA,1,1247,621,7,9,993,4,7
2014,1103,Morgan County,ALABAMA,1,1484,655,11,14,1478,5,12
2014,1105,Perry County,ALABAMA,0,1330,744,7,13,1348,6,10
2014,1107,Pickens County,ALABAMA,0,1734,933,11,11,1704,5,10
2014,1109,Pike County,ALABAMA,0,2038,769,12,11,1733,6,8
2014,1111,Randolph County,ALABAMA,0,1527,727,10,14,1233,4,10
2014,1113,Russell County,ALABAMA,1,1545,649,8,12,1172,5,11
2014,1115,St. Clair County,ALABAMA,1,1160,593,10,14,1326,7,9
