year,fips,county,state,urban,copd_edv,copd_hos,copd_pre,copd_prs,copd_pqi,asth_pre,toba_pre,below_poverty,unemp_rate,apc_percent_diff
2012-2014,1001,Autauga County,ALABAMA,1,-4.448105436573311,-33.333333333333336,1,0,-20.414031052328923,1,-1,7.5108841,12.8793821,-12.645011600928076
2012-2014,1003,Baldwin County,ALABAMA,0,-1.5444015444015444,-12.5,0,1,-7.547169811320755,0,0,7.4833363,13.4116605,-8.236994219653178
2012-2014,1005,Barbour County,ALABAMA,0,10.03627569528416,0,0,1,3.5331230283911674,-1,2,17.645368,26.727438,-12.475247524752476
2012-2014,1007,Bibb County,ALABAMA,1,-2.6234567901234565,-11.11111111111111,0,-1,12.236944660950897,1,0,8.3103105,16.7958781,52.874646559849204
2012-2014,1009,Blount County,ALABAMA,1,-7.911392405063291,-61.53846153846153,0,0,-57.87211176786674,0,0,7.658425,16.7209327,-16.243093922651934
2012-2014,1011,Bullock County,ALABAMA,0,7.854984894259818,27.272727272727273,1,0,58.883826879271076,0,0,17.9753825,24.6187359,72.265625
2012-2014,1013,Butler County,ALABAMA,0,-17.3391494002181,-42.85714285714286,0,0,-43.33037562851227,-1,1,10.8725287,25.3647357,-19.72318339100346
2012-2014,1015,Calhoun County,ALABAMA,1,1.6282225237449117,-31.25,0,0,-30.343413634033826,0,1,12.2106075,20.5322087,1.0953608247422681
2012-2014,1017,Chambers County,ALABAMA,0,-7.478005865102639,-11.11111111111111,-1,0,-31.050531914893618,0,0,8.895237,21.5899304,36.20689655172414
2012-2014,1019,Cherokee County,ALABAMA,0,1.0159651669085632,0,1,1,-25.699888017917136,0,2,7.8995101,19.2297161,6.444605358435916
2012-2014,1021,Chilton County,ALABAMA,1,-13.871951219512196,-60,0,0,-58.91259463179629,0,1,9.1430314,19.1488385,3.1880286271958362
2012-2014,1023,Choctaw County,ALABAMA,0,10.326797385620914,-14.285714285714285,0,1,-21.518987341772153,0,1,13.5766134,23.4282687,-3.0238500851788754
2012-2014,1025,Clarke County,ALABAMA,0,-3.7037037037037037,-8.333333333333334,-1,0,-10.233766233766234,1,1,19.3736419,24.7417256,-18.429414434861553
