year,fips,county,state,urban,copd_apc,copd_edv,copd_hos,copd_pre,copd_pqi,asth_pre,toba_pre,apc_percent_diff
2012,1001,Autauga County,ALABAMA,1,1724,607,15,12,1739,4,8,-0.812064965197
2012,1003,Baldwin County,ALABAMA,0,1384,518,8,10,1007,4,7,-10.9104046243
2012,1005,Barbour County,ALABAMA,0,1515,827,12,10,1585,6,8,4.48844884488
2012,1007,Bibb County,ALABAMA,1,1061,648,9,13,1283,5,10,51.3666352498
2012,1009,Blount County,ALABAMA,1,1810,632,13,14,1861,5,10,-24.5856353591
2012,1011,Bullock County,ALABAMA,0,1024,662,11,10,878,4,6,42.96875
2012,1013,Butler County,ALABAMA,0,1734,917,21,15,3381,5,8,-3.92156862745
2012,1015,Calhoun County,ALABAMA,1,1552,737,16,15,1951,5,11,4.31701030928
2012,1017,Chambers County,ALABAMA,0,928,682,9,14,1504,4,9,14.9784482759
2012,1019,Cherokee County,ALABAMA,0,1381,689,13,16,1786,5,11,20.3475742216
2012,1021,Chilton County,ALABAMA,1,1537,656,10,13,1453,5,9,10.3448275862
2012,1023,Choctaw County,ALABAMA,0,2348,765,7,10,1027,3,8,-4.30153321976
2012,1025,Clarke County,ALABAMA,0,2203,702,12,10,1925,3,4,-19.5188379483
2012,1027,Clay County,ALABAMA,0,1297,638,23,17,3946,4,9,-6.70778720123
2012,1029,Cleburne County,ALABAMA,0,1467,667,13,18,1821,4,11,39.5364689843
2012,1031,Coffee County,ALABAMA,0,1338,814,15,13,1777,6,9,-5.97907324365
2012,1033,Colbert County,ALABAMA,1,1410,820,14,15,1857,5,11,-0.780141843972
2012,1035,Conecuh County,ALABAMA,0,2524,979,45,18,7636,5,6,-8.39936608558
2012,1037,Coosa County,ALABAMA,0,2084,771,13,13,1835,4,9,15.0671785029
2012,1039,Covington County,ALABAMA,0,1457,847,22,17,3243,5,9,-2.12765957447
2012,1041,Crenshaw County,ALABAMA,0,1973,682,25,15,3493,4,8,-9.93411049164
2012,1043,Cullman County,ALABAMA,0,1582,663,10,14,1106,4,9,-4.17193426043
2012,1045,Dale County,ALABAMA,0,1535,816,13,14,1779,5,9,-21.0423452769
2012,1047,Dallas County,ALABAMA,0,1815,775,8,11,1195,5,9,-11.6253443526
